||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
Mahanagar Telephone Nigam Ltd.|61101|248609.00|366199.40|55461.40|81571.10|21.80|14.10|307404.20|111264.20||392.90|165295.80|100982.50|39946.00|67965.10|25.80|100.90|327371.40|-110046.70||231.80|162960.30|94748.60|15945.20|14452.90|0.00|14542.50|0.00|13618.90|12781.90|0.00|12306.00|0.00|13767.70|12204.20|0.00|12557.40|0.00|14859.10|12319.40|578.80|12773.10|0.00|14483.50|11888.00|578.80|12456.60|0.00|12869.00|11942.70|0.00|11868.60|0.00|13348.60|12279.50|0.00|12417.10|0.00|13224.40|12181.60|0.00|12282.50|0.00|14488.40|11729.50|0.00|12751.00|0.00|12755.70|12105.90|0.00|11630.30|0.00|13553.00|12315.60|0.00|12638.10|2.00|13861.60|11248.30|0.00|13330.60|1.40|13440.00|11051.40|0.00|14170.40|4.70|11284.70|9525.90|0.00|11707.80|0.10|11208.00|9824.30|0.00|10995.00|0.00|10571.10|9351.70|212.10|19770.80|251.50|21195.30|9002.30|4992.60|36932.90|0.00|10339.00|9716.30|0.00|14853.40|6.60|10952.40|10633.50|0.00|17001.30|0.80|10720.40|9512.30|40.20|17430.90|0.00|8077.60|8077.60|0.00|19073.40|6.60
Mahindra & Mahindra Ltd.|34|143770.80|161762.40|208155.20|187514.60||208.30|152647.80|23032.60|2741.40|1397.80|27385.20|3429.20|261315.00|236716.30|205.40||179821.80|29055.50|3895.70|1807.80|30686.10|670.40|24783.30|22888.30|1696.40|19867.40|0.00|22963.50|22362.50|0.00|20639.80|14.90|26950.50|24905.00|1161.00|25404.50|0.00|26379.40|25760.60|0.00|23529.40|6.30|27924.90|27234.60|81.40|23994.80|191.90|26659.10|26127.70|0.00|24849.40|0.00|28981.20|28111.00|0.00|27966.50|0.00|31658.10|29501.40|1571.00|28583.50|0.00|32027.50|31595.50|156.30|28383.80|0.00|33433.10|33024.10|0.00|32047.20|0.00|35435.00|33277.30|699.30|35751.90|20.10|29539.40|28820.80|0.00|26276.20|0.00|37399.40|36465.70|0.00|31492.40|0.00|43057.00|42425.90|0.00|39538.60|0.00|48140.10|44852.80|907.50|43114.80|0.00|45508.00|44971.20|0.00|40896.30|0.00|53507.40|53046.30|0.00|46022.20|0.00|52225.00|51601.00|0.00|45906.80|0.00|56589.90|54343.60|0.00|51412.50|0.00|63026.70|61210.90|0.00|55356.20|0.00|68408.50|67692.20|0.00|62975.90|0.00
Mangalore Refinery & Petrochemicals Ltd.|19209|122692.70|164756.30|368134.30|359969.30||9.70|143724.50|26877.80|1.80||32845.60|67.90|439672.40|436058.80|0.00|7.30|176685.40|19203.80|1.10||30818.20|77.60|63269.30|62831.00|24.10|59711.20|0.00|63822.60|63739.40|0.00|67268.40|0.00|79670.70|79488.80|0.00|79930.00|0.00|72890.70|72049.30|0.00|71179.70|97.50|67121.50|66741.30|0.00|67156.60|193.70|74571.80|73238.40|0.00|69514.00|0.00|76545.20|75944.70|522.70|73424.20|0.00|81088.20|80309.20|521.60|80424.10|0.00|95491.90|94543.70|699.20|92567.90|1189.50|107415.00|107202.50|0.00|106233.60|244.00|134348.00|134014.70|24.50|132422.40|374.80|77404.80|75246.50|1669.80|70918.80|0.00|66056.90|65466.50|140.30|58110.30|0.00|62903.80|61658.00|0.00|62520.00|0.20|79333.00|78539.00|1.80|80195.70|9.00|93821.00|91592.80|0.30|89994.60|0.00|89365.60|87085.10|1.20|84398.10|0.00|79115.50|78654.10|29.60|87137.00|0.00|85050.20|83334.40|45.40|77840.30|13.20|103443.20|102991.40|0.00|104662.10|13.30|125152.70|124144.30|1.10|119839.50|0.00
Maruti Suzuki India Ltd.|29101|178672.00|216288.00|331273.00|308306.00||97.00|197480.00|28874.00|1110.00|2810.00|50247.00|159.00|415731.00|393537.00||79.00|231438.00|27843.00|1847.00|3104.00|55294.00|457.00|33922.70|32770.10|0.00|32669.80|0.00|32687.70|31254.70|0.00|29209.20|0.00|35408.90|34005.90|0.00|32061.50|0.00|38079.00|36641.90|0.00|32595.20|0.00|46361.40|44134.40|0.00|40974.60|124.90|41540.70|39308.20|0.00|38015.90|0.00|47572.90|46787.30|0.00|43342.70|0.00|48448.00|47594.30|0.00|42125.40|0.00|50194.60|49431.90|0.00|49664.50|89.10|50823.60|48601.90|0.00|45711.00|0.00|50896.60|49936.20|0.00|47374.70|0.00|48035.00|46258.10|0.00|45716.70|0.00|65383.40|64329.00|0.00|61330.80|0.00|67095.30|64930.00|0.00|61856.10|0.00|73138.50|72038.40|0.00|67592.40|0.00|76132.70|75220.20|0.00|70568.90|0.00|85681.80|84858.30|0.00|78987.80|0.00|84096.20|83091.80|0.00|78893.20|0.00|92823.00|91472.70|0.00|88322.70|0.00|96246.40|94944.50|0.00|89097.20|0.00|101217.10|100053.80|0.00|95783.70|0.00
Max India Ltd.|64300|22835.10|30480.00|3918.60|3913.40||2.40|26657.55|94.30|2.10|25.60|1841.40|5.90|5204.50|5669.50||1.70|30311.30|-266.20|2.50|10.70|3293.70|4.70|405.20|322.50|0.00|343.40|0.00|464.80|431.90|0.00|384.90|0.00|487.20|398.20|0.70|442.90|0.00|484.20|402.50|0.00|448.80|0.00|526.90|440.00|4.40|552.60|0.00|616.10|482.60|0.00|613.80|0.00|981.70|976.50|0.00|831.20|0.00|1046.40|1039.80|0.00|828.00|0.00|1114.30|1108.30|0.00|916.90|0.00|1188.60|1146.60|0.00|1070.30|0.00|1219.60|1215.80|0.00|1098.80|0.00|900.60|900.40|0.00|875.40|0.00|914.20|909.60|0.00|958.20|0.00|848.70|838.30|0.00|870.50|0.00|905.70|904.90|0.00|868.90|0.00|881.90|875.50|0.00|893.30|0.00|978.10|963.60|0.00|968.90|0.00|1199.70|914.50|171.70|1244.20|0.00|1098.70|1085.50|0.00|1305.80|0.00|1254.90|1253.40|0.00|1325.40|0.00|1309.80|1291.60|0.00|1452.70|0.00
Mcleod Russel India Ltd.|10791|19249.90|20080.70|11375.40|8898.70|11.30|9.60|13958.65|2873.50|8.50||14440.30|368.70|11354.00|9147.10|34.20||14841.95|1752.80|11.50||14529.50|343.80|1504.10|1157.30|276.20|1067.10|0.00|764.00|710.90|0.00|1437.00|0.00|1963.10|1788.00|0.00|1926.90|0.00|1862.90|1839.50|0.00|1419.70|0.00|1802.50|1728.40|0.00|1140.70|0.00|1048.00|753.80|232.60|1583.80|0.00|2062.10|2046.00|0.00|1936.90|0.00|2090.40|1996.50|0.00|1586.20|0.00|1930.30|1930.30|0.00|1516.20|0.00|1056.70|1056.70|0.00|1781.10|0.00|2852.10|2851.90|0.00|2273.00|0.00|2477.60|2474.60|0.00|1946.30|0.00|2175.10|2174.50|0.00|1718.50|0.00|1277.60|1222.90|0.00|1903.50|0.00|3543.60|3513.30|0.00|2359.60|0.00|3519.40|3472.60|0.00|2066.30|0.00|2861.40|2862.90|0.00|2395.90|0.00|1346.20|1251.80|0.00|2001.20|0.00|3768.00|3726.40|22.50|2614.70|0.00|3791.20|3785.50|0.00|2186.30|0.00|2383.60|2277.40|0.00|2279.80|2.30
Mercator Ltd.|50119|37565.60|33551.50|7647.70|7583.70|1191.40||35558.55|-1907.00||0.90|18089.10||7025.00|8004.70||0.30|32114.80|-1241.20||0.40|16996.90||1644.80|1502.40|0.70|1150.40|0.00|1864.60|1739.30|0.00|1681.30|0.00|2217.40|2211.40|0.00|2002.20|69.30|1931.30|1829.30|93.30|1777.50|0.00|2089.20|2028.10|24.50|1929.60|4.30|1625.30|1425.90|0.00|1204.00|0.00|1979.90|1852.30|0.00|1714.00|18.10|2056.40|2020.20|0.10|1820.50|4.10|2990.00|2656.70|295.30|2249.60|2.80|2404.60|2397.00|0.00|2297.90|0.00|3196.80|3189.80|0.00|3069.30|0.10|2974.70|2966.70|0.00|2941.40|0.00|4251.40|2823.50|0.00|2708.00|0.20|2273.30|1845.00|420.40|1813.10|0.00|1457.00|1304.80|136.10|1748.90|0.00|1817.40|1331.40|467.20|1760.80|0.00|1626.70|1281.70|342.70|1787.60|0.00|1523.10|1481.20|1.10|1482.10|0.00|1750.10|1734.70|0.00|1744.20|0.00|1515.10|1511.80|0.00|2042.20|0.70|1645.30|1644.80|0.00|2144.80|0.00
Moser Baer India Ltd.|26109|48521.70|46929.30|23660.40|24143.60|244.80|4.50|47725.50|3735.80|17.40||17710.00|141.50|19675.40|23966.10|72.40|32.80|45068.75|1993.40|6.00||15004.30|67.70|5256.90|5075.00|37.90|4621.80|0.00|4880.90|4545.20|0.00|4894.90|0.20|5132.60|5008.60|0.00|5126.00|0.00|5150.20|5015.20|0.00|5064.50|0.00|5448.90|5255.70|0.00|5055.70|0.00|5002.70|4692.90|0.00|5162.10|11.50|4903.30|4775.00|0.00|5546.90|0.00|5515.80|5240.90|167.20|5668.40|0.00|4920.80|4776.20|52.80|5782.90|0.00|5012.70|4874.30|43.90|6180.30|0.00|6450.30|6359.50|20.50|6921.70|0.00|6654.90|6552.40|11.10|6645.00|0.00|6176.40|5098.50|977.90|6028.20|0.00|5679.40|5546.80|45.20|5983.00|0.00|5532.40|5227.80|183.30|6006.10|0.00|5949.90|5917.80|0.00|5969.30|92.50|5930.10|5826.40|0.00|5643.80|0.00|4710.80|4592.10|0.00|5938.90|0.00|5231.00|5157.50|0.00|6058.10|0.00|4459.70|4410.50|0.00|5796.00|0.00|4688.00|4589.50|0.00|5647.70|34.30
Mphasis Ltd.|62013|18828.40|32404.70|38815.40|28846.60|7.70||35043.70|6617.40|||1433.40|98.50|36685.00|28864.90|16.50||41775.50|6249.80|||1688.60|111.10|1039.40|1019.80|0.00|856.80|0.00|2315.40|2267.00|0.00|2034.50|0.00|2668.90|2666.40|0.00|2357.20|0.00|2795.40|2793.60|0.00|2535.90|0.00|3316.40|3301.60|0.80|2858.80|0.00|3592.80|3568.40|0.00|3105.40|0.00|4146.40|4133.40|0.00|3653.70|0.00|4509.90|4499.60|0.00|3851.30|0.00|4899.20|4841.90|5.00|4330.20|0.00|5593.80|5566.40|0.00|4814.20|0.00|6546.60|6390.00|0.00|5419.60|0.00|7716.00|7681.60|0.00|5842.30|0.00|8470.30|8361.90|0.00|6541.30|139.20|9201.20|9076.80|0.00|6936.40|0.00|9188.00|8929.90|0.00|6886.80|-139.20|10425.40|9866.60|219.30|7996.30|0.00|10276.00|9983.10|0.00|7645.00|0.00|8981.40|8839.80|0.00|6573.90|0.00|9118.50|9011.40|-219.30|6617.30|0.00|8890.90|8212.90|355.10|6799.80|0.00|9300.50|8277.30|554.60|7107.60|0.00
N C C Ltd.|42909|47584.30|58760.90|48959.80|46226.10|6.50|9.60|53172.60|104.30||8.70|5538.00|7.90|51793.70|51296.50|25.50||65021.55|-2513.80|||6745.40|8.30|6409.90|6404.50||6404.20||6525.00|6517.40||6755.10||6526.40|6516.60||6246.90||7002.50|6997.70||6603.20||8948.40|8678.80||8836.50|362.50|7625.80|7622.10||6884.30||6775.30|6771.50||6638.10||7805.90|7795.10||8096.80||12577.90|12540.60||12320.20||9717.90|9709.40||10048.30||10568.20|10558.20||10499.30||10274.40|10266.00||10451.30||10995.30|10980.50||10396.60||10024.00|10010.30||9380.50||10678.80|10670.40||10300.10||11884.10|11870.40||11740.50||15735.10|15227.10||14167.20||10877.70|10865.00||11046.60||12067.60|12013.20||12062.90||13378.00|13355.00||13307.50||14806.00|14504.20||14215.10|
N H P C Ltd.|35101|360306.00|439881.20|50442.60|29530.30|46.60|6.80|400093.60|27916.90|5.50|64.00|163929.80|99.60|59485.30|37800.20|281.70|8.20|471854.15|28925.30||72.10|171008.90|26.80|4680.90|3465.90|302.10|2341.60|690.80|5753.60|5036.80|-0.70|3467.70|27.20|8304.10|7422.30|0.70|5306.80|118.50|||||||||||||||||||||2570.40|-1142.10|-520.00|2590.70|220.60|8652.10|7513.00|520.00|5964.00|201.70|2970.10|1831.10|-994.20|-2254.20|-1517.30|11778.30|10386.70|268.40|5445.20|0.00|5672.70|4859.00|143.70|6212.10|684.20|12193.80|10131.40|582.10|12459.60|833.10|11596.70|10726.60|0.00|6575.70|0.00|13149.60|12056.20|0.00|6983.20|0.00|14180.80|12381.40|16.30|8364.70|0.00|9193.10|7498.70|-16.30|5291.60|25.90|12331.60|10569.50|1.40|6957.40|0.00|14523.70|12826.40|0.00|7621.90|9.70|9959.10|7508.60|787.10|6952.40|0.00|19080.20|11380.60|5785.00|12696.20|0.00
N M D C Ltd.|07100|168367.50|214055.60|71104.30|36612.70|13.10|0.30|191211.55|34707.20|145.00|145.30|7871.00|5.60|125862.00|62002.60|13.30|7.00|248783.10|47173.70|120.60|101.50|10992.60|917.90|12175.70|11418.50|0.00|6359.40|0.00|8813.00|8115.30|0.00|4244.10|0.00|10346.80|9484.70|0.00|4979.50|0.00|11517.50|10576.60|0.00|5435.90|0.00|14728.00|13681.80|0.00|7478.80|0.00|12317.50|10816.60|0.00|6058.50|0.00|12827.20|11249.40|0.00|6327.00|0.00|17981.20|16302.50|0.00|8442.90|0.00|20692.50|18945.10|0.00|10781.90|0.00|18623.70|16731.50|0.00|9068.80|0.00|18572.70|16173.20|0.00|9047.40|0.00|25666.80|23375.00|0.00|12046.20|0.00|21617.50|19360.60|0.00|11868.40|0.00|15070.60|12780.50|0.00|7217.50|0.00|15657.60|13901.30|0.00|8147.30|0.00|17990.90|15875.80|0.00|9643.40|0.00|22288.90|19833.30|0.00|11508.20|0.00|27398.20|25179.90|0.00|12589.10|0.00|27058.50|24599.80|0.00|13413.60|0.00|29159.40|26212.20|0.00|14324.80|0.00|42108.40|37697.50|0.00|21536.50|0.00
N T P C Ltd.|35103|1114528.00|1247013.50|500908.50|413626.50|69.90|276.40|1180770.75|100778.30|205.60|155.90|347586.40|358.50|592926.30|501900.40|81.60|608.70|1319928.35|105669.70|283.00|137.80|392338.20|2068.90|83749.00|76587.00|888.00|68086.00|1840.00|81390.00|70504.00|4517.00|65862.00|905.00|83844.00|77148.00|99.00|69105.00|0.00|94679.00|85161.00|98.00|73646.00|0.00|95467.00|88505.00|0.00|78120.00|0.00|100711.80|84491.70|5102.00|77012.50|0.00|87491.20|78959.20|5272.00|68236.30|0.00|101009.10|96637.10|1200.00|83209.90|0.00|114875.00|111842.90|0.00|101480.20|0.00|102567.00|98956.90|617.90|85301.70|0.00|104062.10|99800.30|1110.70|82957.00|0.00|121283.40|113396.50|5234.30|98774.30|0.00|126119.00|121877.40|1570.70|104985.50|0.00|127811.70|125301.80|0.00|105875.50|22.10|115237.90|112515.10|11.00|93718.40|11.80|119703.00|115151.40|1940.60|96053.20|15.50|131522.80|128051.60|976.20|111346.30|872.20|135163.10|129669.90|392.70|116744.20|0.00|153754.60|128723.70|19447.10|132680.80|0.00|141653.30|132765.00|2350.10|117938.50|2367.80|161904.10|151748.90|4224.20|134085.70|0.00
Nagarjuna Fertilizers & Chemicals Ltd. [Merged]|34|34308.00|31232.60|20187.90|19389.70|0.70||26427.85|2580.00|180.30|74.60|18550.90||31370.90|30303.50|||27674.30|376.20|131.10|98.10|17753.00||3568.20|3493.30|0.00|3354.10|0.00|2955.80|2938.90|0.00|3221.90|0.00|6236.20|6137.50|0.00|5625.60|0.00|4912.00|4875.70|0.00|5334.20|0.00|4328.30|4200.30|0.00|4154.20|0.00|3018.40|3003.00|0.00|3822.20|0.00|6825.10|6824.00|0.00|6259.50|0.00|6258.60|6249.60|0.00|6927.50|0.00|6047.60|6013.90|0.00|5925.00|43.30|4377.10|4355.00|0.00|5131.90|0.00|8573.80|8566.40|0.00|7357.10|0.00|5443.10|5434.00|0.00|5450.90|0.00|5445.10|5430.80|0.00|4513.60|0.00|3301.00|3295.40|0.00|3769.20|0.00|5344.30|5337.30|0.00|4939.30|0.00|6113.60|6107.10|0.00|6432.00|0.00|5315.90|5171.70|0.00|4136.10|0.00|3318.50|3311.50|0.00|4001.10|0.00|11264.60|11230.20|0.00|10523.00|0.00|8565.10|8545.80|0.00|9535.40|0.00|7854.60|7820.00|0.00|5876.00|0.00
National Aluminium Co. Ltd.|24202|124392.90|134389.80|58311.70|49952.80|3.80|1.80|129391.35|11716.50|26.70|44.80|48363.10|10.00|68162.90|58197.20||403.70|142780.50|16304.80|11.90||54935.30|48.40|16293.20|15380.70|0.00|10166.30|0.00|15689.10|14855.20|0.00|9477.70|0.00|15430.50|14416.20|0.00|9836.50|0.00|15464.00|14485.70|0.00|9835.00|0.00|16957.20|15644.80|0.00|10729.10|0.00|12962.30|11652.30|0.00|9037.80|0.00|14725.40|13565.50|0.00|9803.20|0.00|12472.60|11324.80|0.00|9354.90|0.00|12962.30|12003.90|0.00|9037.80|0.00|15937.00|14976.80|0.00|11048.00|0.00|16545.00|15715.10|0.00|12181.50|0.00|11560.20|10359.50|68.00|10816.10|0.00|12334.90|11256.60|0.00|10462.30|19.90|10365.00|9353.10|0.00|9704.70|0.00|13472.80|11791.10|280.10|12180.20|0.00|14793.50|14176.10|0.00|12744.70|158.30|17143.20|16415.50|17.40|12786.40|0.00|13978.50|13080.90|0.00|11703.30|0.00|15645.10|14791.50|0.00|12828.30|0.00|15325.10|14431.20|0.00|13642.30|0.00|19199.40|18219.50|0.80|15731.50|0.00
Neyveli Lignite Corpn. Ltd.|35103|179954.90|194169.80|47240.20|34781.50|33.00||187062.35|5409.80|85.20||52388.00|22.00|53351.40|40368.10|4206.30|3996.10|193637.55|1741.30|92.70||67958.20|31.60|6029.70|3675.80|769.00|6771.20|0.00|7610.10|6397.20|0.00|5207.10|0.00|7339.00|6079.20|0.00|5621.40|0.00|6428.40|5102.40|0.20|4975.30|0.00|5723.30|3502.30|48.70|6015.00|0.00|9259.70|7775.80|0.40|6234.50|0.00|8820.80|7277.70|0.00|6296.40|21.70|8160.90|6745.60|0.00|6002.50|3.50|10139.70|8017.40|0.00|6382.30|559.10|12376.20|10871.40|0.00|9507.00|2750.60|8190.90|6681.70|7.80|6291.90|0.00|10162.40|6620.40|1719.20|7908.60|1061.70|9469.40|9375.60|-1727.00|8838.60|3180.50|10359.40|8843.00|0.00|7025.00|0.60|10445.80|8815.50|0.00|8025.60|0.80|13882.10|8630.00|3887.60|10209.80|0.00|12548.80|14921.70|-3855.90|9199.10|-1.40|12579.20|11454.30|0.00|9379.10|0.00|12296.00|10632.00|0.00|9465.20|46.40|10002.00|8692.10|0.70|8860.40|0.00|13970.10|12181.10|8.10|8225.70|0.00
Oil & Natural Gas Corpn. Ltd.|06102|1530395.30|1688947.70|661803.80|495308.60||553.40|1609671.50|188853.30|1985.80||559307.10|2012.50|740875.10|551764.20||1534.70|1768711.85|370509.60|3582.40||622152.10|1600.40|131689.30|118983.70|6407.00|102921.30||150227.20|146027.70||108788.90||150082.60|140685.50||108089.50||162690.10|155645.20||116520.80||148910.70|123969.70|3151.50|121884.90||145265.10|136877.00||99518.40||167046.70|154825.90|807.80|116943.50||162896.30|152205.00|3058.20|119523.60||176602.90|156992.10|5.10|149950.10||211456.30|202268.80|434.10|145032.50||188966.30|174996.20||140371.50||139421.40|126201.40|2848.30|116054.30||159183.20|141334.30|8051.90|137116.80||159240.80|151361.10||111959.80||163314.10|153379.30|5.30|112851.60||155061.40|155061.40||124608.60||164908.80|160023.40|194.10|126610.00||142302.20|138230.10||106614.10||197301.00|184302.80|3936.40|143462.10||215315.60|208041.50|581.50|144054.70||167015.00|157428.80|80.20|138692.00|
Oil India Ltd.|06102|135795.40|183523.70|105363.00|79152.10|2.50||159659.55|18335.30|223.10||40189.10||125579.30|96778.40|||198850.95|29164.10|172.80||42482.90|56.20||||||||||||||||||||||||||||||||||||||||||||||16576.20|17217.50|-1338.50|8654.40|-229.10|18586.90|15673.30|0.00|11403.30|229.10|12334.10|9686.90|1109.40|6393.40|0.00|11720.60|9404.50|229.10|11019.90|0.00|15558.40|13923.10|0.00|8307.60|0.00|17605.00|15251.50|0.00|10194.00|0.00|16672.60|14875.70|0.00|9509.40|0.00|15188.50|13198.20|0.00|10802.60|0.00|13379.00|10955.40|0.00|8486.10|0.00|19539.90|17880.30|0.00|10348.40|0.00|20745.30|17971.90|514.50|11794.90|0.00|17404.80|14894.60|0.00|11638.70|0.00
Onmobile Global Ltd.|62013|8926.00|11487.50|3829.60|3300.60|1.60|7.90|10206.75|300.70|||3384.60|2610.10|5018.00|4101.60|1.50||11915.45|745.70|||3687.60|2958.50||||||||||||||||||||||||||502.70|476.50|0.00|383.90|0.00|593.50|583.80|0.00|462.70|6.90|578.40|574.20|0.00|470.20|0.00|701.90|673.10|0.00|584.00|0.00|727.70|645.60|0.00|582.80|0.00|842.80|793.50|0.00|669.00|0.00|947.00|888.20|0.00|742.80|0.00|989.60|943.80|0.00|805.70|0.00|924.40|879.10|0.00|782.10|0.00|903.60|834.00|12.50|788.30|0.00|931.30|896.30|0.00|801.30|0.00|1072.80|1029.80|0.00|931.30|0.00|1101.70|1062.70|0.00|927.80|0.00|1267.30|1149.70|0.00|1018.40|0.00|1272.80|1251.70|0.00|1096.00|0.00|1376.20|1086.20|0.00|1059.40|0.00
Opto Circuits (India) Ltd.|26102|10660.00|12246.40|4719.40|3243.90||13.10|11453.20|928.90|4.90|1.90|804.30|14.10|6395.90|4440.50||0.50|16343.30|1180.10|36.60|2.20|792.80|7.00|354.50|354.50|0.00|247.20|0.00|312.60|311.00|0.00|207.30|0.00|525.00|511.20|0.00|379.90|0.00|569.10|552.30|0.10|343.70|0.00|641.90|641.90|0.00|426.30|5.90|626.90|616.00|0.00|383.40|0.00|812.80|812.80|0.00|509.70|0.00|914.80|904.30|0.00|602.30|0.00|1061.40|953.90|0.00|760.00|1.70|826.80|823.40|0.00|593.80|4.60|1091.70|1043.60|0.00|590.50|0.00|1013.90|946.10|0.00|752.10|0.00|1359.20|1199.20|0.00|1083.90|13.00|983.40|981.20|0.00|563.40|0.00|1208.70|1208.70|0.00|870.00|0.30|1168.90|1168.90|0.00|880.20|0.50|1356.20|1356.20|0.00|928.10|15.60|1362.10|1274.90|0.00|934.60|0.00|1432.10|1432.10|0.00|1076.40|2.90|1647.10|1588.90|0.00|1090.70|0.30|2048.40|2042.00|6.40|1432.60|
Oracle Financial Services Software Ltd.|62013|42873.50|53537.20|23351.00|16742.50||10.50|48205.35|6763.80||0.80|2065.70|8.60|25227.20|15547.40|5.00||59949.90|7166.30||5.00|3090.10|0.00|3828.40|3723.20|0.00|2610.90|0.00|3187.90|3083.90|0.00|2832.40|0.00|4097.00|3968.00|0.00|3087.60|0.00|4034.30|3955.60|0.00|3123.80|0.00|4604.40|4515.90|0.00|3333.20|0.00|3954.90|3846.40|0.00|3372.90|0.00|4500.20|4351.70|0.00|3734.50|120.00|4699.40|4567.40|0.00|3591.60|0.00|5279.60|5164.20|0.00|3626.40|0.00|5118.60|4628.00|0.00|4196.80|0.00|5895.40|5370.60|24.00|4782.90|468.90|6137.20|5930.30|0.00|4153.50|0.00|6657.80|6197.30|-24.00|3718.70|69.60|5643.60|5456.20|0.00|4121.40|0.00|5619.20|5365.90|17.80|3901.10|0.00|5896.30|5555.40|184.50|3981.20|0.00|6165.60|6057.20|6.70|4712.60|544.50|5272.80|5006.70|0.00|3533.40|0.00|6336.70|5824.10|219.10|4221.50|122.00|6212.90|5837.40|0.00|3739.40|0.00|7573.30|6936.80|0.00|4221.50|25.40
Orbit Corporation Ltd.|68100|12187.00|17431.70|4935.90|3165.60|||14809.35|-3047.90||30.50|206.00||3612.90|5026.40|1.20||18511.20|-120.70||68.50|233.60|||||||||||||||||||||||||||457.30|451.90|0.00|298.20|0.00|136.50|131.10|0.00|568.90|0.00|739.20|725.60|0.00|1007.70|0.00|1857.70|1833.40|0.00|382.50|0.00|254.40|251.90|0.00|258.20|0.00|295.40|292.90|0.00|448.60|0.00|82.80|82.60|0.00|1175.90|0.00|491.30|465.10|0.00|392.00|0.00|1110.20|1103.30|0.00|842.30|0.00|1419.00|1407.10|0.00|911.30|0.00|1566.30|1496.10|48.40|750.10|0.00|904.40|864.70|15.40|725.70|0.00|1119.00|1106.10|0.00|1275.00|0.00|921.40|910.90|0.00|1427.50|0.00|1043.70|1034.20|0.00|1006.90|0.00|528.80|516.90|0.00|1317.00|0.00
